utterance_id,speaker,episode_id,scene_id,transcript,emotion_label,valence,arousal,dominance,sep,vad_coverage
s01_e03_c02_u011,Chandler Bing,s01_e03,s01_e03_c02,Relax your hand!,Powerful,0.3127,-0.2907,-0.0410,0.2922,1.000
s01_e03_c02_u013,Chandler Bing,s01_e03,s01_e03_c02,Not so much!,Powerful,-0.2590,-0.1670,-0.2210,-0.3695,1.000
s01_e03_c02_u015,Chandler Bing,s01_e03,s01_e03_c02,Hey!,Powerful,0.0960,-0.2060,-0.2760,-0.0420,1.000
s01_e03_c02_u017,Chandler Bing,s01_e03,s01_e03_c02,"Alright, now try taking a puff.",Neutral,0.1670,-0.1410,-0.0705,0.1317,0.667
s01_e03_c02_u019,Chandler Bing,s01_e03,s01_e03_c02,Alright.. okay. No. Give it to me.,Neutral,0.2172,-0.2640,-0.1028,0.1658,0.857
s01_e03_c02_u021,Chandler Bing,s01_e03,s01_e03_c02,"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",Powerful,0.2620,-0.1811,0.0643,0.2941,0.733
s01_e03_c02_u023,Chandler Bing,s01_e03,s01_e03_c02,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",Powerful,0.1104,-0.1330,0.0429,0.1318,0.828
s01_e03_c02_u025,Chandler Bing,s01_e03,s01_e03_c02,"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",Scared,-0.0691,-0.0659,0.0456,-0.0463,0.818
s01_e03_c06_u008,Chandler Bing,s01_e03,s01_e03_c06,"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",Joyful,0.1146,-0.1034,0.0171,0.1232,0.692
s01_e03_c06_u014,Chandler Bing,s01_e03,s01_e03_c06,I personally could have a gallon of Alan.,Joyful,0.1374,-0.1974,-0.0522,0.1113,0.625
s01_e03_c09_u005,Chandler Bing,s01_e03,s01_e03_c09,"Well, maybe it's a contest, y'know? Like, collect all five?",Neutral,0.2577,-0.1247,0.0065,0.2610,0.889
s01_e03_c09_u011,Chandler Bing,s01_e03,s01_e03_c09,"Hey, this is so unfair!",Neutral,-0.1395,-0.0655,-0.2120,-0.2455,0.800
s01_e03_c09_u013,Chandler Bing,s01_e03,s01_e03_c09,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",Scared,0.0026,-0.0074,-0.0480,-0.0214,0.694
s01_e03_c11_u003,Chandler Bing,s01_e03,s01_e03_c11,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",Mad,-0.0577,-0.0248,0.0021,-0.0566,0.931
s01_e03_c11_u005,Chandler Bing,s01_e03,s01_e03_c11,"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",Joyful,0.2851,-0.1270,0.0069,0.2886,0.809
s01_e03_c14_u010,Chandler Bing,s01_e03,s01_e03_c14,...That's it. I'm getting cigarettes.,Powerful,0.0557,0.1540,-0.0740,0.0187,0.600
s01_e03_c14_u012,Chandler Bing,s01_e03,s01_e03_c14,"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",Scared,-0.0238,0.0098,-0.1419,-0.0948,0.600
s01_e03_c14_u014,Chandler Bing,s01_e03,s01_e03_c14,"Yeah, alright.",Neutral,0.1890,-0.2770,-0.0340,0.1720,1.000
s01_e04_c01_u004,Chandler Bing,s01_e04,s01_e04_c01,"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",Joyful,0.2102,0.0117,0.2132,0.3169,0.615
s01_e04_c03_u001,Chandler Bing,s01_e04,s01_e04_c03,...Poulet passes it up to Leetch!,Joyful,-0.0180,-0.2390,0.0780,0.0210,0.500
s01_e04_c03_u003,Chandler Bing,s01_e04,s01_e04_c03,We'll take a brief time out while Messier stops to look at some women's shoes.,Neutral,0.2108,0.0494,-0.0705,0.1756,0.800
s01_e04_c03_u008,Chandler Bing,s01_e04,s01_e04_c03,"Yes, Bunny?",Joyful,0.5735,-0.1125,-0.2645,0.4413,1.000
s01_e04_c03_u012,Chandler Bing,s01_e04,s01_e04_c03,Could've been a peach.,Joyful,0.1233,-0.4567,-0.1533,0.0467,1.000
s01_e04_c08_u002,Chandler Bing,s01_e04,s01_e04_c08,"See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",Neutral,0.0367,0.0428,-0.0038,0.0348,0.812
s01_e04_c08_u004,Chandler Bing,s01_e04,s01_e04_c08,He's open!,Joyful,0.4255,-0.0200,0.3470,0.5990,1.000
s01_e04_c08_u007,Chandler Bing,s01_e04,s01_e04_c08,"Hey, look, we're on that TV thing!",Joyful,0.1347,-0.0929,-0.0381,0.1156,1.000
s01_e04_c09_u001,Chandler Bing,s01_e04,s01_e04_c09,'Scuse me.,Neutral,0.0000,0.0000,-0.2080,-0.1040,0.500
s01_e04_c09_u003,Chandler Bing,s01_e04,s01_e04_c09,"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.",Mad,0.1703,-0.0546,0.0096,0.1750,0.789
s01_e04_c13_u002,Chandler Bing,s01_e04,s01_e04_c13,"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?",Mad,0.3569,-0.1218,-0.0065,0.3537,0.750
s01_e04_c13_u005,Chandler Bing,s01_e04,s01_e04_c13,"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?",Joyful,0.1791,0.0705,-0.0409,0.1586,0.750
s01_e04_c13_u007,Chandler Bing,s01_e04,s01_e04_c13,Then what?,Neutral,0.0000,0.0230,-0.0240,-0.0120,1.000
s01_e04_c13_u012,Chandler Bing,s01_e04,s01_e04_c13,"So in your whole life, you've only been with one oh.",Neutral,0.1003,-0.1627,0.0540,0.1273,0.636
s01_e04_c15_u002,Chandler Bing,s01_e04,s01_e04_c15,"I think it's great. Y'know, it's sweet, it's romantic...",Neutral,0.3851,-0.1146,0.1166,0.4434,0.875
s01_e04_c15_u004,Chandler Bing,s01_e04,s01_e04_c15,"No, you kidding? The guy's a freak..",Powerful,-0.1620,0.2207,-0.0220,-0.1730,0.429
s01_e04_c15_u008,Chandler Bing,s01_e04,s01_e04_c15,"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.",Joyful,0.1825,-0.0678,0.1027,0.2339,0.609
s01_e04_c15_u013,Chandler Bing,s01_e04,s01_e04_c15,"You gotta do it, man.",Powerful,0.0000,0.3485,0.0560,0.0280,0.500
s01_e04_c16_u004,Chandler Bing,s01_e04,s01_e04_c16,Thanks.,Neutral,0.8360,-0.0560,-0.0780,0.7970,1.000
s01_e04_c16_u007,Chandler Bing,s01_e04,s01_e04_c16,"Hello? Oh, uh, Rachel, it's the Visa card people.",Neutral,0.2384,-0.2352,0.0316,0.2542,0.556
s01_e04_c16_u009,Chandler Bing,s01_e04,s01_e04_c16,"Alright. Yes, this is Rachel.",Neutral,0.2097,-0.0277,0.0462,0.2329,0.800
s01_e04_c16_u013,Chandler Bing,s01_e04,s01_e04_c16,"To the left, to the left- aww!",Joyful,-0.0968,-0.1344,-0.1632,-0.1784,0.714
s01_e05_c01_u004,Chandler Bing,s01_e05,s01_e05_c01,"We can? All right, I'm tryin' that.",Peaceful,0.2328,0.0045,0.1092,0.2874,0.714
s01_e05_c04_u002,Chandler Bing,s01_e05,s01_e05_c04,"Oh. Well, hold on camper, are you sure you've thought this thing through?",Neutral,0.2136,-0.1778,0.0462,0.2367,0.769
s01_e05_c04_u004,Chandler Bing,s01_e05,s01_e05_c04,"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",Joyful,0.1747,-0.1822,0.0751,0.2123,0.632
s01_e05_c04_u006,Chandler Bing,s01_e05,s01_e05_c04,Yuh-huh.,Neutral,-0.4220,-0.3380,-0.4820,-0.6630,0.500
s01_e05_c04_u008,Chandler Bing,s01_e05,s01_e05_c04,"Well, you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwearyou want it to be dirty?",Joyful,0.0729,-0.1177,-0.1171,0.0144,0.692
s01_e05_c04_u010,Chandler Bing,s01_e05,s01_e05_c04,"Oh, and uh, the fabric softener?",Neutral,0.1400,-0.0160,-0.0890,0.0955,0.500
s01_e05_c04_u012,Chandler Bing,s01_e05,s01_e05_c04,There you go.,Peaceful,0.0100,-0.0590,-0.0560,-0.0180,0.667
s01_e05_c06_u001,Chandler Bing,s01_e05,s01_e05_c06,Where are they? Where are they?,Scared,0.0000,0.0000,0.0000,0.0000,1.000
s01_e05_c06_u003,Chandler Bing,s01_e05,s01_e05_c06,It's great. Maybe tomorrow we can rent a car and run over some puppies.,Joyful,0.2561,0.0419,-0.0618,0.2252,0.929
s01_e05_c06_u006,Chandler Bing,s01_e05,s01_e05_c06,Here we go.,Neutral,0.1750,0.0997,0.1493,0.2497,1.000
s01_e05_c06_u008,Chandler Bing,s01_e05,s01_e05_c06,"Hey, Janice.",Neutral,0.0960,-0.2060,-0.2760,-0.0420,0.500
s01_e05_c06_u010,Chandler Bing,s01_e05,s01_e05_c06,"Hey, that's not good. Can I get an espresso and a latte over here, please?",Neutral,0.2662,-0.1099,-0.0804,0.2260,0.733
s01_e05_c06_u013,Chandler Bing,s01_e05,s01_e05_c06,What?,Neutral,0.0000,0.0460,0.0000,0.0000,1.000
s01_e05_c06_u015,Chandler Bing,s01_e05,s01_e05_c06,What... did you get me there?,Neutral,0.1200,0.2253,0.0835,0.1618,0.667
s01_e05_c06_u017,Chandler Bing,s01_e05,s01_e05_c06,Bullwinkle socks. That's so sweet.,Joyful,0.1680,-0.0435,-0.1180,0.1090,0.400
s01_e05_c06_u019,Chandler Bing,s01_e05,s01_e05_c06,That's great.,Joyful,0.4580,0.2035,0.3100,0.6130,1.000
s01_e05_c06_u021,Chandler Bing,s01_e05,s01_e05_c06,"Well, I'm gonna get another espresso. Can I get you another latte?",Neutral,0.3122,-0.1364,-0.0010,0.3117,0.692
s01_e05_c06_u024,Chandler Bing,s01_e05,s01_e05_c06,That's it?,Neutral,0.0000,-0.1025,0.0000,0.0000,1.000
s01_e05_c06_u026,Chandler Bing,s01_e05,s01_e05_c06,"Oh, yeah, that hug looked pretty brutal.",Neutral,0.1672,0.1286,0.0104,0.1724,0.857
s01_e05_c14_u001,Chandler Bing,s01_e05,s01_e05_c14,"Here's the thing, Janice. You know, I mean, it's like we're different. I'm like the bing, bing, bing. You're like the boom, boom, ... boom.",Joyful,0.1931,-0.0669,0.0532,0.2197,0.708
s01_e05_c14_u003,Chandler Bing,s01_e05,s01_e05_c14,"Oh, my god, I'm so sorry. Are you ok?",Scared,-0.0250,-0.0765,0.0100,-0.0200,0.556
s01_e05_c14_u006,Chandler Bing,s01_e05,s01_e05_c14,I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,Joyful,-0.1182,0.0116,0.0429,-0.0967,0.500
s01_e05_c14_u008,Chandler Bing,s01_e05,s01_e05_c14,"Oh, I don't know, a million?",Scared,0.4740,0.0373,0.3680,0.6580,0.500
s01_e05_c14_u010,Chandler Bing,s01_e05,s01_e05_c14,I'm fine.,Neutral,0.6460,-0.5200,0.2940,0.7930,0.500
s01_e05_c14_u013,Chandler Bing,s01_e05,s01_e05_c14,I'm not fine. Here she comes.,Scared,0.4420,-0.2600,0.2185,0.5513,0.333
s01_e05_c14_u016,Chandler Bing,s01_e05,s01_e05_c14,How do you do that?,Scared,0.1700,0.0673,0.1100,0.2250,0.800
s01_e05_c14_u018,Chandler Bing,s01_e05,s01_e05_c14,We should always always break up together.,Joyful,0.1813,0.0043,0.1302,0.2464,1.000
s01_e05_c16_u016,Chandler Bing,s01_e05,s01_e05_c16,I'm free! I'm free!,Joyful,0.7920,0.0000,0.0880,0.8360,0.500
s01_e06_c01_u002,Chandler Bing,s01_e06,s01_e06_c01,"You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom...",Neutral,-0.0474,-0.0461,-0.0945,-0.0947,0.714
s01_e06_c05_u009,Chandler Bing,s01_e06,s01_e06_c05,Where's Joey? His mom's on the phone.,Neutral,0.3280,-0.1600,0.0425,0.3493,0.571
s01_e06_c05_u011,Chandler Bing,s01_e06,s01_e06_c05,"C'mon, we're roommates! My eyes!! My eyes!!",Scared,0.4357,-0.1557,0.0483,0.4598,0.500
s01_e06_c05_u015,Chandler Bing,s01_e06,s01_e06_c05,"Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast.",Neutral,0.1353,-0.2239,-0.1899,0.0404,0.560
s01_e06_c05_u017,Chandler Bing,s01_e06,s01_e06_c05,"Yeah, well, I only have twenty minutes until Ethan, so, y'know..",Neutral,0.2933,-0.2025,-0.0222,0.2823,0.600
s01_e06_c05_u019,Chandler Bing,s01_e06,s01_e06_c05,"No, no resentment, believe me, it's worth it. 'Kay? Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?",Neutral,0.1884,-0.1272,-0.0170,0.1799,0.700
s01_e07_c04_u001,Chandler Bing,s01_e07,s01_e07_c04,"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",Joyful,0.1169,0.0359,0.1949,0.2143,0.909
s01_e07_c04_u003,Chandler Bing,s01_e07,s01_e07_c04,"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!",Scared,-0.0289,-0.1127,-0.1014,-0.0796,0.658
s01_e07_c04_u005,Chandler Bing,s01_e07,s01_e07_c04,Jill says vestibule... I'm going with vestibule.,Neutral,0.0424,0.1662,0.0414,0.0631,0.714
s01_e07_c04_u007,Chandler Bing,s01_e07,s01_e07_c04,"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.",Joyful,0.1024,-0.0969,0.0245,0.1146,0.800
s01_e07_c06_u001,Chandler Bing,s01_e07,s01_e07_c06,"Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!",Joyful,0.1521,-0.2191,0.0146,0.1593,0.808
s01_e07_c06_u003,Chandler Bing,s01_e07,s01_e07_c06,There you go!,Joyful,0.0100,-0.0590,-0.0560,-0.0180,0.667
s01_e07_c06_u005,Chandler Bing,s01_e07,s01_e07_c06,You're definitely scaring here.,Scared,0.1665,0.0000,0.3865,0.3598,0.500
s01_e07_c06_u007,Chandler Bing,s01_e07,s01_e07_c06,"Yeah, about 300 guys I went to high school with. Yeah, thanks.",Joyful,0.1883,-0.0267,-0.0260,0.1752,0.818
s01_e07_c07_u002,Chandler Bing,s01_e07,s01_e07_c07,"Hey, it's me.",Neutral,0.0480,-0.2440,-0.1380,-0.0210,0.667
s01_e07_c07_u004,Chandler Bing,s01_e07,s01_e07_c07,"Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",Sad,0.3060,-0.2900,0.0333,0.3227,0.273
s01_e07_c07_u006,Chandler Bing,s01_e07,s01_e07_c07,I'm trppd... in an ATM vstbl... wth Jll Gdcr!,Scared,0.0660,-0.0320,-0.0720,0.0300,0.111
s01_e07_c07_u008,Chandler Bing,s01_e07,s01_e07_c07,Put Joey on the phone.,Mad,0.1660,-0.1720,-0.0293,0.1513,0.600
s01_e07_c07_u010,Chandler Bing,s01_e07,s01_e07_c07,I'm trppd... in an ATM vstbl... wth JLL GDCR.,Scared,0.0660,-0.0320,-0.0720,0.0300,0.125
s01_e07_c07_u012,Chandler Bing,s01_e07,s01_e07_c07,"Yeah, like that thought never entered my mind.",Peaceful,0.1730,-0.2168,-0.0280,0.1590,0.750
s01_e07_c17_u001,Chandler Bing,s01_e07,s01_e07_c17,"Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go.",Peaceful,0.2244,-0.0569,-0.0342,0.2073,0.810
s01_e07_c17_u003,Chandler Bing,s01_e07,s01_e07_c17,"Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.",Joyful,0.1477,-0.0038,0.0840,0.1897,0.750
s01_e07_c17_u004,Chandler Bing,s01_e07,s01_e07_c17,"Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking.",Scared,0.1359,-0.1166,0.0157,0.1438,0.741
s01_e07_c17_u009,Chandler Bing,s01_e07,s01_e07_c17,Yes... thank you. That was... that was....,Neutral,0.2388,-0.0348,0.0908,0.2843,1.000
s01_e08_c01_u001,Chandler Bing,s01_e08,s01_e08_c01,Dehydrated Japanese noodles under fluorescent lights... does it get better than this?,Joyful,0.1271,-0.1020,-0.1069,0.0737,0.667
s01_e08_c01_u003,Chandler Bing,s01_e08,s01_e08_c01,"Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or 'self-destructive'...",Sad,0.0053,0.1519,0.2564,0.1335,0.500
s01_e08_c01_u005,Chandler Bing,s01_e08,s01_e08_c01,Yes please.,Joyful,0.3505,-0.0695,-0.0295,0.3358,1.000
s01_e08_c01_u007,Chandler Bing,s01_e08,s01_e08_c01,He's a he?,Mad,0.6110,0.0000,0.5560,0.8890,0.667
s01_e08_c02_u001,Chandler Bing,s01_e08,s01_e08_c02,"...Couldn't enjoy a cup of noodles after that. I mean, is that ridiculous? Can you believe she actually thought that?",Mad,0.1351,-0.0612,-0.0289,0.1206,0.750
s01_e08_c02_u003,Chandler Bing,s01_e08,s01_e08_c02,You did?,Neutral,0.0000,0.6670,0.0000,0.0000,0.500
s01_e08_c02_u005,Chandler Bing,s01_e08,s01_e08_c02,"Huh. Did, uh... any of the rest of you guys think that when you first met me?",Neutral,0.1605,-0.0836,-0.0331,0.1440,0.706
s01_e08_c02_u010,Chandler Bing,s01_e08,s01_e08_c02,You're kidding! Did you tell her I wasn't?,Neutral,0.0865,0.1335,-0.0430,0.0650,0.500
s01_e08_c02_u013,Chandler Bing,s01_e08,s01_e08_c02,"Well, this is fascinating. So, uh, what is it about me?",Neutral,0.2611,0.0204,0.0500,0.2861,0.727
s01_e08_c02_u015,Chandler Bing,s01_e08,s01_e08_c02,"Ross is smart and funny, d'you ever think that about him?",Neutral,0.2775,0.0409,0.1624,0.3587,0.800
s01_e08_c02_u017,Chandler Bing,s01_e08,s01_e08_c02,WHAT IS IT?!,Mad,-0.0650,-0.1160,-0.2070,-0.1685,1.000
s01_e08_c02_u020,Chandler Bing,s01_e08,s01_e08_c02,"Oh, oh, a quality, good, because I was worried you guys were gonna be vague about this.",Mad,0.0689,-0.0898,-0.0233,0.0573,0.667
s01_e08_c04_u001,Chandler Bing,s01_e08,s01_e08_c04,"I just have to know, okay. Is it my hair?",Neutral,0.2520,-0.2367,-0.0527,0.2257,0.800
s01_e08_c07_u001,Chandler Bing,s01_e08,s01_e08_c07,"Hey, gorgeous.",Joyful,0.4680,-0.0430,0.1030,0.5195,1.000
s01_e08_c07_u003,Chandler Bing,s01_e08,s01_e08_c07,"No, nono, don't- don't worry about it. Believe me, apparently other people have made the same mistake.",Joyful,0.0831,-0.0188,-0.1281,0.0190,0.882
s01_e08_c07_u005,Chandler Bing,s01_e08,s01_e08_c07,"So, uh... what do you think it is about me?",Neutral,0.0853,-0.0487,0.0257,0.0982,0.700
s01_e08_c07_u007,Chandler Bing,s01_e08,s01_e08_c07,"...Quality, right, great.",Joyful,0.6713,-0.0267,0.5813,0.9620,1.000
s01_e08_c07_u009,Chandler Bing,s01_e08,s01_e08_c07,"Lowell? Financial Services' Lowell, that's who you saw me with?",Neutral,-0.0085,0.0398,0.1200,0.0515,0.400
s01_e08_c07_u011,Chandler Bing,s01_e08,s01_e08_c07,"Well, yeah... 's'no Brian in Payroll.",Joyful,0.4160,-0.2857,0.0413,0.4367,0.600
s01_e08_c07_u013,Chandler Bing,s01_e08,s01_e08_c07,"No! Uh, I d'know! The point is, if you were gonna set me up with someone, I'd like to think you'd set me up with someone like him.",Neutral,0.1399,-0.0801,0.0491,0.1644,0.643
s01_e08_c07_u015,Chandler Bing,s01_e08,s01_e08_c07,Excuse me? You don't think I could get a Brian? Because I could get a Brian. Believe you me. ...I'm really not.,Neutral,0.2418,-0.1052,0.0456,0.2646,0.455
s01_e08_c09_u012,Chandler Bing,s01_e08,s01_e08_c09,"Well, don't we look nice all dressed up?...It's stuff like that, isn't it?",Neutral,0.3066,-0.1137,0.0970,0.3551,1.000
s01_e08_c10_u005,Chandler Bing,s01_e08,s01_e08_c10,"Nothing, just your overcoat sounds remarkably like Brent Mussberger.",Neutral,0.2008,-0.2572,0.2235,0.3126,0.667
s01_e08_c10_u007,Chandler Bing,s01_e08,s01_e08_c10,You're watching a football game at a funeral?,Neutral,-0.1067,0.0100,0.0287,-0.0923,0.500
s01_e08_c10_u009,Chandler Bing,s01_e08,s01_e08_c10,"You are a frightening, frightening man.",Scared,-0.5040,0.6373,-0.2067,-0.6073,0.500
s01_e08_c12_u005,Chandler Bing,s01_e08,s01_e08_c12,Who are those people?,Scared,0.0693,-0.0667,0.0000,0.0693,0.750
s01_e08_c13_u001,Chandler Bing,s01_e08,s01_e08_c13,"Hey, Lowell.",Neutral,0.0960,-0.2060,-0.2760,-0.0420,0.500
s01_e08_c13_u003,Chandler Bing,s01_e08,s01_e08_c13,So how's it going there in Financial Services?,Neutral,0.0764,0.0852,0.1480,0.1504,0.625
s01_e08_c13_u005,Chandler Bing,s01_e08,s01_e08_c13,"Good, good. Listen, heh, I dunno what Shelley told you about me, but, uh... I'm not.",Neutral,0.2705,-0.1630,-0.0260,0.2575,0.444
s01_e08_c13_u007,Chandler Bing,s01_e08,s01_e08_c13,Really.,Neutral,0.1712,-0.0261,0.0585,0.2005,0.000
s01_e08_c13_u009,Chandler Bing,s01_e08,s01_e08_c13,So- you can tell?,Neutral,-0.0960,-0.2760,0.0340,-0.0790,0.500
s01_e08_c13_u011,Chandler Bing,s01_e08,s01_e08_c13,"So you don't think I have a, a quality?",Neutral,0.5110,-0.1060,0.2995,0.6607,0.444
s01_e08_c13_u013,Chandler Bing,s01_e08,s01_e08_c13,He is?,Neutral,0.3055,0.0000,0.3020,0.4565,1.000
s01_e08_c13_u015,Chandler Bing,s01_e08,s01_e08_c13,"Out of my league. I could get a Brian. If I wanted to get a Brian, I could get a Brian. Hey, Brian.",Mad,0.1534,-0.0918,-0.0328,0.1370,0.478
s01_e09_c04_u003,Chandler Bing,s01_e09,s01_e09_c04,"I'd just like to say that I'm totally behind this experiment. In fact, I'd very much like to butter your head.",Joyful,0.1834,-0.0992,0.0716,0.2192,0.857
s01_e09_c04_u020,Chandler Bing,s01_e09,s01_e09_c04,"All right, I'm nine years old.",Neutral,0.0513,-0.2727,-0.0987,0.0020,0.833
